,name,均值,标准差,三阶矩,一致性,图像熵,灰度共生矩阵结果,能量,对比度,熵,逆差距
13,DiBei,64.23456790123457,12.30110207641456,0.0007106928712018313,0.024424241893768794,5.599384619343936,0,0.016550916205531133,3.1150793650793656,4.4085999281634445,0.5107446004504832
14,DiBei,101.37347232207046,24.16243242668199,-0.04150367217167937,0.012821396071405644,6.552935889386199,0,0.012501673229516433,3.343637670740476,4.706741116727259,0.497269866341816
15,DiBei,108.82564102564102,24.298683564067854,-0.07866359410076781,0.014667982291513226,6.452829573748293,0,0.013935733070348465,3.4762820512820465,4.537899713124008,0.4703681777462263
16,DiBei,69.8992,22.731897768728775,-0.05439898287251341,0.013260942430740386,6.482935329449857,0,0.010112213333333323,4.234666666666664,4.9527595339743495,0.4675335261869324
17,DiBei,141.08695652173913,26.5986931690366,-0.4470241035958615,0.018950459776988282,6.127704206336915,0,0.014923682607133368,7.318181818181814,4.379222804828053,0.37369543704921754
18,DiBei,212.43720930232558,23.612987676999058,-0.2736926293722989,0.017232137424798566,6.205536051570352,0,0.023931254131362312,3.570542635658915,4.041741066463161,0.5012257940356436
19,DiBei,170.778,25.479338994689556,-0.12221262768653152,0.01240577771464757,6.61636531645179,0,0.016327333333333336,3.0663333333333345,4.450679712879432,0.5087899139627586
20,DiBei,222.20089285714286,22.727025650092738,-0.3923593236401341,0.01956114471431647,5.960751404178458,0,0.02587890624999999,5.674107142857143,3.8723004260149363,0.48014372238719627
21,DiBei,225.34625,21.330819375228085,-0.20319381314088397,0.01757812519883828,6.072332057511017,0,0.026365624999999997,4.286249999999999,3.948469719297449,0.5102913048049705
22,DiBei,221.01736111111111,21.213878366797633,-0.2271245815861746,0.018301504426176507,6.089748894982775,0,0.028509194958847732,3.468749999999999,3.902574798610015,0.521880760782303
23,DiBei,187.1045751633987,21.204008398127264,-0.10864935579728259,0.018573103302514937,6.104714647749932,0,0.02225165059972187,3.599128540305011,3.980616119659148,0.46542585172342965
24,DiBei,176.24417426545085,21.403636819565985,-0.21393401646998733,0.018041017670043402,6.114221931299221,0,0.023835699965817036,4.117527862208714,4.107368235257657,0.4835554416677161
25,DiBei,157.21831683168318,22.930142941370754,-0.2849849928330728,0.017041466587670584,6.258967051310484,0,0.025969022644838736,2.842574257425741,4.101681493493874,0.5354463327778952
26,DiBei,127.1351689612015,17.8139952236145,-0.07239760320938196,0.019945143943914445,5.959211328355569,0,0.017230549450893713,3.8660826032540685,4.330311678710403,0.4861910700580988
27,DiBei,84.30909090909091,18.108835350884238,-0.04408213697496928,0.01847566599667516,6.045338076577641,0,0.009262075298438924,6.772121212121216,4.872429003419212,0.39455474146462216
28,DiBei,54.10175438596491,17.598808690715668,-0.0268577919676398,0.01818898110968803,6.0673491240377375,0,0.007603570329332105,8.609824561403503,5.122053227387144,0.37072992471346505
29,DiBei,109.57576938059992,27.993189080231733,-0.024668903396330506,0.012031433646200185,6.712062512867103,0,0.01728540710819912,2.4744838332684087,4.439355421952431,0.5380831313800868
30,DiBei,158.35434027777777,29.735665496624694,-0.474815295783461,0.011619198379221096,6.733139726560063,0,0.013494513031550075,4.009548611111113,4.740750976803218,0.4728122497253514
31,DiBei,143.41917293233084,23.63748475421867,-0.17446429959416193,0.016223641814448797,6.318977212523661,0,0.010659166713776919,10.366165413533839,4.936580998553049,0.3395642112502529
32,DiBei,134.77764976958525,25.727235621084496,-0.16265576391436842,0.01273187460796521,6.568908904302175,0,0.009911417740873667,6.714285714285711,4.8725876835589945,0.3857056838865708
33,DiBei,121.49683544303798,33.723267499047004,-0.16104802313385952,0.00877689915649782,7.0312717870000405,0,0.006376400952282522,8.20423563777993,5.295663977793053,0.3628539928662394
34,DiBei,56.276923076923076,17.945204722876,0.01791511719694555,0.016291914134811236,6.1466961349438245,0,0.009807486850756067,4.3955128205128196,4.888817273079153,0.4577246724553332
35,DiBei,146.81618023553509,40.11214143713417,-0.4839947760160821,0.008286482476485446,7.189354241278707,0,0.008810181875193538,3.961085509472605,5.018678698605368,0.47208268705474227
36,DiBei,57.42857142857143,15.886307555714437,-0.05223408830177411,0.031118232629523845,5.351877850670894,0,0.012860516107269342,10.922077922077923,4.17849144203268,0.3354096289533878
37,DiBei,185.77290969899664,27.606520663871173,-0.7367882290787731,0.016361561690800386,6.361622880682019,0,0.018318363329269245,7.004682274247491,4.483171555113264,0.44700776720174284
38,DiBei,94.18472388955583,40.741181514874924,0.3444085594568361,0.007602530812448549,7.26697565292759,0,0.005013094673643775,14.197629051620643,5.575457344634514,0.3228997733224097
39,DiBei,157.60023041474653,36.348000424504185,-1.395692332093907,0.01343529157150769,6.704750309344152,0,0.014362011887654829,6.461904761904764,4.858717555642894,0.44426679838613437
40,DiBei,195.50865800865802,44.927586461924804,-2.410417428047118,0.010569517259227723,6.77419516205117,0,0.011155150765540375,7.251082251082249,4.509883277272192,0.414269027161622
41,DiBei,224.70709382151028,24.656194310998433,-0.7886730991766036,0.02017604968386877,5.881244436985296,0,0.02938696856557871,4.782608695652175,3.6540807978425898,0.48202103066856544
42,DiBei,140.11944444444444,19.501058952460298,-0.11957822946659458,0.019116513185963413,6.097771629338383,0,0.02650655864197528,2.3562499999999997,4.051204725227633,0.5467183003138887
